service_id,date,exception_type
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231127,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231128,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231129,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231130,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231201,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231204,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231205,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231206,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231207,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231208,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231211,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231212,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231213,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231214,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231215,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231218,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231219,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231220,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231221,1
chouette:TimeTable:2e7f8b5b-f083-4db0-95ea-493fe343dbd0:LOC,20231222,1
chouette:TimeTable:30d733a9-27c8-4a98-ba2c-c9f50cced6f1:LOC,20231126,1
